gene	lv1	lv2	rv1	rv2	genelength
Itm2a	2236	2174	9484	10883	1626
Sergef	97	90	341	408	1449
Fam109a	383	314	1864	2384	2331
Dhx9	2688	2631	18501	20879	4585
Ssu72	762	674	2806	3435	1446
Olfr1018	0	0	0	0	935
Fam71e2	0	0	0	0	2675
Eif2b2	736	762	3081	3601	1565
Mks1	77	82	398	685	2347
Hebp2	203	205	732	921	1906
Vps28	1319	1240	4130	4926	875
Setd6	179	172	1073	1492	1662
Gstm2	175	198	441	470	1039
Spn-ps	0	0	0	0	806
Psma4	757	555	3158	3631	1087
Pex19	1129	1175	5310	6694	3123
Tsnaxip1	3	2	19	38	2194
Gm9705	3	2	17	19	2629
Bcl7a	825	827	4021	5178	3803
Mir5134	0	0	0	0	77
Dio1	0	0	0	0	1660
Bnip3l	1065	949	3765	4024	3231
Capzb	5161	5045	20458	25186	1739
Dnajc21	601	588	2480	2912	2041
Cachd1	275	304	4269	5192	4938
Gm6654	2	8	35	60	625
Olfr955	0	0	0	0	944
1110008J03Rik	144	141	703	794	1662
Snip1	273	261	1564	1697	2321
Ptgr1	220	187	771	766	2094
Vmn1r5	0	0	0	0	947
Npy	12	13	64	45	541
B9d2	230	214	1281	1297	1018
Syt2	3	1	10	13	3376
Ppia	0	0	2	1	731
Phax	747	658	2629	3113	2042
Lnx2	360	363	2377	2446	4533
4932418E24Rik	1	1	9	10	3137
Gm10768	0	1	1	2	2042
Itgb7	3	3	30	29	2659
Rplp2	495	449	3128	3279	436
Strbp	765	736	4093	5518	16331
Snhg4	65	70	374	735	1147
4930444G20Rik	0	0	0	0	1770
Olfr799	0	0	0	0	935
Gm10220	0	0	0	0	2979
Dhrs2	0	0	3	1	1262
Ankk1	0	0	0	0	2678
Ttll11	20	11	94	126	3167
Fam187b	3	1	9	16	2662
B3gnt3	29	32	62	213	2100
4930465K10Rik	3	1	16	20	1261
4930467E23Rik	0	0	0	0	2579
4922501L14Rik	1	4	11	28	2002
AI428936	169	187	769	1242	1346
Olfr1221	0	0	0	0	935
Mir127	0	0	0	0	69
Zdhhc23	15	15	115	195	1274
Psmg2	640	658	1735	2191	1052
1700095B22Rik	0	0	8	12	1086
Mir5108	0	1	0	0	84
Mettl22	478	395	1866	2074	1302
Adrb1	166	166	893	792	2490
Ifi30	235	237	988	1160	975
Lrrn4cl	6	3	25	34	2581
Hprt	1211	1048	4044	4333	1340
Gkn1	0	0	5	5	1214
Gm4736	0	0	0	0	1026
Fabp9	0	0	0	0	581
Snora31	2	2	22	77	111
4930534B04Rik	148	157	937	1178	4781
Fignl2	594	439	1174	1583	4205
Tlr9	0	0	8	9	3469
Olfr1466	0	0	0	0	932
Kcnh1	17	34	383	329	7132
Spaca7	0	0	0	0	754
Eif2c4	41	45	372	542	6503
Lrat	0	0	85	268	5347
Otop2	0	2	6	12	2327
Rnf115	659	672	2413	2845	2256
Hdgf	4478	3633	16278	18877	2239
Chst12	924	743	3112	3773	1784
1700019D03Rik	0	0	7	7	832
Otx2os1	0	0	0	0	738
Mir1843	0	0	0	0	64
Sowahc	64	63	307	392	4511
Nup188	1268	1212	6371	7639	5626
Vmn1r184	0	0	0	0	944
Gpx2	1	0	0	2	1065
4930423M02Rik	0	0	2	0	1200
Olfr1084	0	0	0	0	953
Msmb	0	0	0	0	517
Ptprb	170	221	1687	1984	11880
Rab9b	6	4	32	40	3758
Ccdc155	12	21	47	82	2190
Vsig8	1	0	13	8	1871
Tmem88b	93	156	238	400	3469
Prkag2	1489	1473	4953	5983	3444
Nmt1	2128	1844	7879	8637	1826
Cd22	0	0	0	1	4297
Gpr111	0	4	20	19	3277
Gm14482_2	0	0	0	0	508
Slc15a1	0	0	4	6	3100
Crem_1	20	18	91	93	1582
Batf3	22	31	117	140	709
Fut4-ps1	0	0	0	4	2493
Slc47a1	244	322	1762	2871	2617
Sharpin	465	446	1626	2363	1724
Pbx4	16	21	69	107	1339
Nup210	476	467	2872	3890	6995
Dnaic1	30	32	67	84	2471
Nos1	0	0	2	2	4358
4930565N06Rik	0	0	12	22	2413
Sod2	1655	1801	9620	10644	3819
